252,Speaker,Utterance,dialogue_start,,5 Es,
,T,right?,T,,,(students working in groups)
,S,yeah.,F,,Explore,(teacher going from group to group)
,T,"so it's going to be... well, what's three times a positive five? fifteen.",F,,Explore,
,S,"yeah, fifteen.",F,,Explore,
,T,divided by five is?,F,,Explore,
,S,three.,F,,Explore,
,T,three minus ten.,F,,Explore,
,S,seven.,F,,Explain,
,T,negative seven. don't forget the negative.,F,,Explain,
,S,"negative seven. oh, all right.",F,,Explain,
,T,okay?,F,,,
,T,all right guys. thanks for waiting so long.,T,,,
,S,okay.,F,,,
,T,"all right, you want me to just check the answers?",F,,,
,S,yeah.,F,,,
,T,"now the only favor I need you to do, is because for each of these numbered equations, just number them. for example, this is one, correct?",F,,,
,S,yeah.,F,,,
,T,this one was equation three.,F,,,
,S,yeah.,F,,,
,T,this one was equation five. so near the end of each of these arrows +...,F,,,
,S,"yeah, put the number?",F,,,
,T,"just put ... put the number. and then this one, let me just make sure, because I don't have them all memorized.",F,,,
,S,(silent),F,,,
,T,"let's see, negative nine was one fourth. you've got the slope perfect there and this one was three fifths, right?",F,,,
,S,(silent),F,,,
,T,so everything looks perfect.,F,,,
,S,(silent),F,,,
,T,just number them and move on to the next five.,F,,,
,S,okay.,F,,,
,T,okay?,F,,,
,S,"Mister Ormsby? we're on number six. I got it, guys. check our answers. so here's all of number five.",T,,,
,T,"look at that excellent work, man.",F,,,
,T,excellent work.,F,,,
,S,"I crossed it out. there's one, there's two, there's three, and there's four and there's five. I figured it out.",F,,,
,T,excellent.,F,,,
,S,but it... they're having problems on number... oh there it is. I found it.,F,,,
,T,okay. you know what? as a matter of fact I think it's time for me to address the whole class.,F,,,
,S,okay.,F,,,
,T,"everybody. ladies and gentlemen, listen up. ",T,,,"(teacher addresses whole class, all groups start listening to teacher)"
,S,(chattering),F,,,"(assesses progress, gives hint/reminder for equations 6 through 10; elicits student response)"
,T,"five, four, three, two, one, zero.",F,,,
,S,(silent),F,,,
,T,"now, about half of you are about ready to start the next set of five, right? starting on number six?",F,,,
,S,"yep, that's what we're doing. we're starting...",F,,,
,T,"let me give you a hint. just a little reminder, what you will notice...",F,,,
,S,(chattering),F,,,
,T,"julie, you're doing a great job but please listen, okay? you'll notice on equations six through ten the slopes are negative.",F,,,
,S,"yep, all xxx.",T,,,
,T,all right?,F,,,
