213,speaker,utterance,dialogue_start,Teaching Act,Teaching Purpose,Student Phase (5 Es),Teacher Phase (5 Es)
,[You]:,"Our purpose is to investigate how gasses behave and what factors affect their behavior. So we're going to look at a scenario of this tank car. You have this tank train, and the interior of the tank car was washed out and cleaned with steam, and all the outlet valves were shut and the tank car was sealed. All the workers went home for the evening and when they returned in the morning this is what they found- I mean, do you know what they found?",T,Giving explicit guidance,Motivating students,,Engage
,[Bot]:,It exploded.,F,,,,
,[You]:,Maybe it exploded. Does anyone else have an idea of maybe what they found when they came back?,F,Questioning and prompting,Getting Students' hypothesizing,,"Engage, explore"
,[Bot]:,It decompressed.,F,,,,
,[You]:,What? Decompressed?,F,Questioning and prompting,,,Explore
,[Bot]:,Yeah. You can see where the stress is at. Or maybe it froze.,F,,,,
,[You]:,"Ok, so maybe we had a phase change, some stuff froze inside of it. So we have the idea that maybe it exploded, maybe it compressed, and maybe we see a- what?",F,Giving explicit clarification,Summarizing ideas,,Explore
,[Bot]:,Steam.,F,,,,
,[You]:,Did you say steam? Maybe you saw some steam coming off of it.,F,Giving explicit clarification,,,Explore
,[Bot]:,Because they were washing with steam.,F,,,,
,[You]:,Ok. So let's see what happened. Here's what they found when they came back.,T,Using instructional aids,,,Engage
,[Bot]:,Holy! Wow! Why'd that happen?,F,,,,
,[You]:,"So that's what we're going to try to figure out. So I have a video of it actually happening, too.",F,Using instructional aids,,,Engage
,[Bot]:,That's crazy.,F,,,,
,[You]:,Ok. So here it is.,F,Using instructional aids,,,Engage
,[Bot]:,Whoa! That's crazy! Is it because there's nothing inside of it?,F,,,,
,[You]:,"Ok. So, pretty crazy event here. I hear many of you asking how does it happen, and I've heard you saying some ideas, so what I want you to do, in the notes section of your journal, take a few minutes to brainstorm. What do you think is happening? What was happening inside or outside that made it crush? Why did it crush? How did it crush? If it helps you might want to think about before and after and maybe draw a picture of it. Maybe what was happening inside, outside, before, and then after.",F,,Eliciting Students' Initial Ideas,,Engage
,,,,,,,
,[Bot]:,There was no space for the moisture to go so it just exploded,T,,,,
,[You]:,So why would it go in?,F,Questioning and prompting,Getting Students Hypothesizing ,,Explore
,[Bot]:,What do you mean?,F,,,,
,[You]:,"Because the tank went like, it went in.",F,Giving Explicit Clarification,,,Explore
,[Bot]:,"Oh, yeah. Ok.",F,,,,
,[You]:,Good thought process here.,F,Providing Feedback ,,,Evaluate
,,,,,,,
,[You]:,What do you think?,T,Questioning and prompting,,,Explore
,[Bot]:,No idea.,F,,,,
,[You]:,No Idea? Well take a guess. What's happening inside of that tanker when they steam cleaned it?,F,Questioning and prompting,Getting Students Hypothesizing ,,Explore
,[Bot]:,No idea.,F,,,,
,[You]:,"Ok. Haha. So, is there anything inside there?",F,Questioning and prompting,,,Explore
,[Bot]:,No.,F,,,,
,[You]:,No? Steam?,F,Questioning and prompting,Identifying Gaps in Students' Knowledge,,Explore
,[Bot]:,"There's, like, ripples in there- I don't know, I don't know.",F,,,,
,[You]:,Ok. You don't want to guess? You need to think about something- Try to take a guess. It doesn't have to be right at this point.,F,,,,Explore
,[Bot]:,Alright.,F,,,,
,,,,,,,
,[You]:,What do you think's happening?,T,Questioning and prompting,,,Explore
,[Bot]:,"I think the air would be sucked out of it, I think that’s what was happening to it.",F,,,,
,[You]:,"But it was sealed, right?",F,Monitoring and Guiding Students' Discussions/Work,,,Explore
,[Bot]:,"Yeah, it was sealed.",F,,,,
,,,,,,,
,[You]:,"So when the steam turned back toliquid, what happened?",T,Questioning and prompting,,,Explore
,[Bot]:,Everything was being sucked in.,F,,,,
,[You]:,"So, What happens when steam turns into liquid? So when we think of our flask, that it was in, what was happening when the steam got- when the water vapor came off of it? Where did it go?",F,Questioning and prompting,,,Explore
,[Bot]:,Into the balloon.,F,,,,
,[You]:,So it made that balloon expand. So what happened- how did we make the balloon unexpand?,F,Questioning and prompting,,,Explore
,[Bot]:,We had to let it go. Like the pressure difference maybe.,F,,,,
,[You]:,"Ok. And what happens to the stuff, the water, the gas, what happens to it?",F,Questioning and prompting,,,Explore
,[Bot]:,They turn back to water.,F,,,,
,[You]:,"Ok, so maybe that has something to do with it? How would that have something to do with it?",F,Questioning and prompting,,,Explore
,,,,,,,
,[You]:,What's going on here?,T,Questioning and prompting,,,Explore
,[Bot]:,"For now we're just thinking about before it crunches and we're taking notes, or whatever.",F,,,,
,[You]:,Ok. Good.,F,Providing Feedback ,,,Evaluate
,[Bot]:,"But the whole thing is, about the tornado, it looked like a mini tornado inside the tank that causes it to crash in an instant.",F,,,,
,[You]:,But what causes this mini tornado inside?,F,Questioning and prompting,,,Explore
,[Bot]:,"The steam, and then like, the air that we saw already in it.",F,,,,
,[You]:,Ok.,F,Providing Feedback ,,,?
,[Bot]:,So it made like a little mini tornado.,F,,,,
,[You]:,"Ok, so you have steam inside, and what do you know about steam and its movement?",F,Questioning and prompting,Activating Prior Knowledge,,Engage
